ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,label
-120,-120,-76,-120,-120,-120,-120,-99,-120,-120,-120,2
-71,-86,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-87,-120,-120,-120,-92,-120,-120,-120,-120,2
-120,-120,-120,-92,-88,-120,-120,-120,-120,-120,-120,2
-73,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-86,-88,-120,-120,-120,-96,-120,-120,-120,-120,2
-120,-120,-120,-89,-93,-120,-120,-120,-120,-120,-120,2
-120,-74,-88,-120,-92,-99,-120,-120,-120,-120,-120,2
-75,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-90,-120,-120,-96,-120,-120,-120,-120,2
-72,-120,-79,-90,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-89,-120,-120,-120,-120,-120,-120,2
-120,-82,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-99,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-93,-120,-120,-120,-120,2
-85,-76,-92,-120,-92,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-90,-120,-120,-98,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-120,-99,-120,-120,-120,2
-120,-120,-120,-81,-120,-120,-120,-120,-120,-120,-120,2
-73,-71,-120,-120,-82,-96,-120,-120,-120,-120,-120,2
-120,-120,-91,-120,-120,-120,-94,-94,-120,-120,-120,2
-72,-120,-120,-120,-120,-120,-95,-120,-120,-120,-120,2
-120,-64,-120,-78,-80,-120,-120,-120,-120,-120,-120,2
-120,-120,-84,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-80,-120,-120,-120,-120,-120,-120,-120,-120,2
-79,-76,-120,-85,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-78,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-120,-98,-120,-120,-120,2
-120,-120,-120,-80,-120,-120,-120,-120,-120,-120,-120,2
-69,-120,-120,-120,-85,-120,-120,-120,-120,-120,-120,2
-120,-66,-86,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-120,-97,-120,-120,-120,2
-74,-64,-81,-83,-80,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-98,-120,-120,-120,-120,2
-87,-64,-84,-82,-82,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-96,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-96,-120,-120,-120,-120,-120,2
-74,-76,-120,-120,-76,-120,-97,-120,-120,-120,-120,2
-120,-120,-84,-94,-120,-120,-120,-120,-120,-120,-120,2
-88,-63,-120,-120,-80,-120,-120,-120,-120,-120,-120,2
-120,-120,-83,-81,-120,-120,-120,-120,-120,-120,-120,2
-90,-63,-120,-120,-76,-120,-120,-120,-120,-120,-120,2
-120,-120,-82,-82,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-100,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-120,-100,-120,-120,-120,2
-120,-75,-88,-82,-76,-120,-120,-120,-120,-120,-120,2
-91,-120,-120,-120,-120,-120,-120,-100,-120,-120,-120,2
-120,-120,-120,-120,-120,-97,-120,-120,-120,-120,-120,2
-74,-120,-95,-120,-120,-120,-120,-98,-120,-120,-120,2
-120,-65,-120,-95,-75,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-97,-120,-120,-120,-120,-120,2
-74,-64,-92,-120,-75,-120,-97,-97,-120,-120,-120,2
-120,-120,-120,-82,-120,-120,-120,-120,-120,-120,-120,2
-88,-65,-120,-120,-75,-98,-120,-120,-120,-120,-120,2
-120,-120,-84,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-96,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-120,-96,-120,-120,-120,2
-120,-66,-89,-82,-78,-120,-120,-120,-120,-120,-120,2
-88,-120,-120,-120,-120,-120,-120,-98,-120,-120,-120,2
-68,-76,-79,-120,-120,-120,-92,-97,-120,-120,-120,2
